Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitePozicky,Chrome 123.0.0.0,,,17-04-2024 14:36:56,17-04-2024 14:49:51,"12m - 54,304s",FAILED
,,,,,,,
Test Cases/Pozicky B/Pozicka_399090,Chrome 123.0.0.0,"Služba 7.3.4 Žiadosť o pôžičku pre pedagógov s ručiteľom, s autorizáciou AD účtom a podpisom KEP",,17-04-2024 14:36:57,17-04-2024 14:42:41,"5m - 43,866s",FAILED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 123.0.0.0,,,17-04-2024 14:36:58,17-04-2024 14:36:58,"0,033s",PASSED
mail = new Email(),Chrome 123.0.0.0,,,17-04-2024 14:36:58,17-04-2024 14:36:58,"0,023s",PASSED
podpis = new Podpisovac(),Chrome 123.0.0.0,,,17-04-2024 14:36:58,17-04-2024 14:36:58,"0,013s",PASSED
form = new Formular(),Chrome 123.0.0.0,,,17-04-2024 14:36:58,17-04-2024 14:36:58,"0,013s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,17-04-2024 14:36:58,17-04-2024 14:37:02,"4,440s",PASSED
"navigateToUrl(""https://es-test.minedu.sk/"")",Chrome 123.0.0.0,,,17-04-2024 14:37:02,17-04-2024 14:37:10,"7,808s",PASSED
"if (form.prihlasUzivatela(""930471954"", ""zTTfKFASM+jMVRoiJaGOIA==""))",Chrome 123.0.0.0,,,17-04-2024 14:37:10,17-04-2024 14:37:50,"39,875s",PASSED
"click(findTestObject(""Object Repository/Page_Portl elektronickch sluieb regionlneho_9bdbd3/a_Pedagogick a odborn zamestnanec""))",Chrome 123.0.0.0,,,17-04-2024 14:37:50,17-04-2024 14:37:51,"1,006s",PASSED
"click(findTestObject(""Object Repository/Page_Elektronick sluby pre pedagogickch a o_83fa6f/a_Podvanie iadosti o piku pre pedaggov z Fo_d7a76f""))",Chrome 123.0.0.0,,,17-04-2024 14:37:51,17-04-2024 14:37:52,"0,795s",PASSED
"click(findTestObject(""Object Repository/Page_Podvanie iadosti o piku pre pedaggov z_981991/a_Prejs na podvanie iadosti o piku pre peda_d8ef74""))",Chrome 123.0.0.0,,,17-04-2024 14:37:52,17-04-2024 14:37:59,"6,770s",PASSED
"waitForElementPresent(findTestObject(""Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_ESRVS-2024-2188""), 30, STOP_ON_FAILURE)",Chrome 123.0.0.0,,,17-04-2024 14:37:59,17-04-2024 14:38:17,"18,330s",PASSED
"identifikator = getText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_ESRVS-2024-2188""))",Chrome 123.0.0.0,,,17-04-2024 14:38:17,17-04-2024 14:38:19,"2,477s",PASSED
"verifyElementText(findTestObject(""Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_ESRVS-2024-2188""), identifikator)",Chrome 123.0.0.0,,,17-04-2024 14:38:19,17-04-2024 14:38:20,"0,349s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte najvy zskan titul (v prpade v_aad6cd""), ""Ing."")",Chrome 123.0.0.0,,,17-04-2024 14:38:20,17-04-2024 14:38:20,"0,744s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_Marek""), ""Marek"")",Chrome 123.0.0.0,,,17-04-2024 14:38:20,17-04-2024 14:38:21,"0,435s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_Tirpk""), ""Tirpák"")",Chrome 123.0.0.0,,,17-04-2024 14:38:21,17-04-2024 14:38:21,"0,351s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_8001010017""), ""8001010017"")",Chrome 123.0.0.0,,,17-04-2024 14:38:21,17-04-2024 14:38:22,"0,348s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/span_01.01.1980""), ""01.01.1980"")",Chrome 123.0.0.0,,,17-04-2024 14:38:22,17-04-2024 14:38:22,"0,327s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/label_In""))",Chrome 123.0.0.0,,,17-04-2024 14:38:22,17-04-2024 14:38:22,"0,380s",PASSED
"setText(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/input_Zadajte PS trvalho pobytu_UI_V_ZP_in__f1f09d""), ""07865"")",Chrome 123.0.0.0,,,17-04-2024 14:38:22,17-04-2024 14:38:23,"0,799s",PASSED
"click(findTestObject(""Object Repository/Page_Formulr Podvanie iadosti o piku pre pe_fbb4f4/label_Nie""))",Chrome 123.0.0.0,,,17-04-2024 14:38:23,17-04-2024 14:38:24,"0,412s",PASSED
